pic,title,explanation,udemy_link,site_link
https://img-c.udemycdn.com/course/100x100/1258436_2dc3_4.jpg,Komple Uygulamalý Web Geliþtirme Eðitimi,"Sýfýrdan ileri seviyeye 'Web Geliþtirme': Html, Css, Sass, Flexbox, Bootstrap, Javascript, Angular, JQuery, Asp.Net Mvc&Core Mvc",https://www.udemy.com/course/komple-web-developer-kursu/?couponCode=16EKM2022,https://www.sadikturan.com//komple-web-gelistirme-kursu
https://img-c.udemycdn.com/course/100x100/2463492_8344_3.jpg,Python ile Sýfýrdan Ýleri Seviye Python Programlama,"Sýfýrdan Ýleri Seviye Python Dersleri.Veritabaný,Veri Analizi,Bot Yazýmý,Web Geliþtirme(Django)",https://www.udemy.com/course/python-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//python-dersleri
https://img-c.udemycdn.com/course/100x100/1662526_fc1c_3.jpg,Sýfýrdan Ýleri Seviye Modern Javascript Dersleri ES7+,"Modern javascript dersleri ile (ES6 & ES7+) Nodejs, Angular, React ve VueJs için saðlam bir temel oluþturun.",https://www.udemy.com/course/modern-javascript-kursu/?couponCode=16EKM2022,https://www.sadikturan.com//javascript-dersleri
https://img-c.udemycdn.com/course/240x135/1944162_74f2_3.jpg,Node.js ile Sýfýrdan Ýleri Seviye Web Geliþtirme,Node.js ile sýfýrdan ileri seviye dinamik web uygulamasý geliþtirmeyi öðren.,https://www.udemy.com/course/komple-web-gelistirme-kursu-nodejs/?couponCode=16EKM2022,https://www.sadikturan.com//nodejs-dersleri
https://img-c.udemycdn.com/course/240x135/4301499_60fc.jpg,Python Django ile Sýfýrdan Ýleri Seviye Web Geliþtirme,Python django ile sýfýrdan ileri seviye dinamik web uygulamasý geliþtirmeyi öðren.,https://www.udemy.com/course/python-django-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//python-django-dersleri
https://img-c.udemycdn.com/course/100x100/2363350_4d3d_5.jpg,Angular 12 ile Sýfýrdan Ýleri Seviye Web Geliþtirme,En popüler front-end framework'ü Angular 'ý sýfýrdan en ileri seviye kadar öðrenin.,https://www.udemy.com/course/angular-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//angular-dersleri
https://img-c.udemycdn.com/course/100x100/3366564_2236_5.jpg,"Sýfýrdan Uygulamalý React Geliþtirme: Hooks, Redux & Firebase","En popüler frontend kütüphanesi React'i baþtan sona uygulamalý projelerle öðren. Hooks, Redux, Webpack, Firebase ve Fazlasý.",https://www.udemy.com/course/react-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//react-dersleri
https://img-c.udemycdn.com/course/100x100/3952174_5d3a.jpg,Php ile Sýfýrdan Ýleri Seviye Web Programlama Kursu,Sýfýrdan php dersleri ile dinamik php uygulamalarý geliþtirebilirsin.,https://www.udemy.com/course/php-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//php-dersleri
https://img-c.udemycdn.com/course/100x100/1440660_b7a4_3.jpg,Asp.Net Core Mvc ile Sýfýrdan Ýleri Seviye Web Programlama,Asp.net core dersleri ile sýfýrdan ileri seviyeye uygulamalý projelerle dinamik web uygulamalarý geliþtirebilirsiniz.,https://www.udemy.com/course/asp-net-core-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//asp-net-core-dersleri
https://img-c.udemycdn.com/course/100x100/2349954_d803_2.jpg,E-Ticaret Kursu: Katmanlý Mimari ile Core Mvc Dersleri,Baþtan Sona Core Mvc Dersleri ile Kendi E-Ticaret Siteni Mimari Bakýþ Açýsýyla Hazýrla.,https://www.udemy.com/course/aspnet-core-mvc-kursu/?couponCode=16EKM2022,https://www.sadikturan.com//katmanli-mimari-eticaret-kursu-asp-net-core-mvc
https://img-c.udemycdn.com/course/100x100/3118920_55f8_3.jpg,.Net Core Web Api & Angular ile Proje Geliþtirme Kursu,Sýfýrdan asp.net core web api ve angular 9 kullanarak baþtan sona proje geliþtiyoruz.,https://www.udemy.com/course/aspnet-core-web-api-angular-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//aspnet-core-web-api-angular-dersleri
https://img-c.udemycdn.com/course/100x100/2907528_f51f_2.jpg,Sýfýrdan Uygulamalý SQL Veri Tabaný Dersleri: MySQL & MsSQL,En temelden baþlayarak sql veri tabaný tasarýmýný profesyonel düzeyde öðrenerek etkin sql sorgularý yazabilirsin.,https://www.udemy.com/course/sql-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//sql-dersleri
https://img-c.udemycdn.com/course/100x100/2624596_8d26.jpg,Mobil Uygulama Kursu: Xamarin ile Android ve IOS Geliþtirme,C# programlama yeteneðini Xamarin ile birleþtirerek Cross Platform Native Android ve IOS uygulamasý geliþtirebilirsin.,https://www.udemy.com/course/xamarin-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//xamarin-dersleri
https://img-c.udemycdn.com/course/100x100/3080074_fc14_2.jpg,Bootstrap 5 ile Premium Web Tasarým Proje Geliþtirme Kursu,Bootstrap 5 kütüphanesini baþtan sona öðrenerek kýsa zamanda premium web tasarýmlarýný kolaylýkla yapabilirsin.,https://www.udemy.com/course/bootstrap-dersleri/?couponCode=16EKM2022,https://www.sadikturan.com//bootstrap-dersleri
https://img-c.udemycdn.com/course/100x100/1397898_cbbb_3.jpg,C# Kursu: Yeni Baþlayanlar için C# Programlama Dersleri,Sýfýrdan programlama mantýðý dahil bilmeniz gereken en temel C# programlama derslerini kýsa zamanda öðrenin!,https://www.udemy.com/course/komple-uygulamali-programlama-egitimi-yeni-baslayanlar/?couponCode=16EKM2022,https://www.sadikturan.com//csharp-dersleri
